"item_id","item_name","item_description","item_type","item_price","remaining_stock"
1,"plan","Sound worry ahead couple age population.","Home Decor",649.94,69
2,"team","Woman management turn side our alone.","Clothing",376.34,18
3,"financial","Analysis article decide decide theory top space or.","Electronics",348.75,83
4,"her","Season later ok should cultural.","Clothing",78.43,44
5,"cup","Thousand new system watch.","Home Decor",387.62,42
6,"do","Relationship majority parent ball.","Home Decor",573.48,43
7,"light","Message gun really same.","Books",708.69,67
8,"enjoy","Build natural blue force forget.","Books",842.4,98
9,"hotel","Better best successful do box piece.","Electronics",570.37,72
10,"interview","Finish court measure.","Electronics",884.88,95
11,"remember","Him maybe win position.","Books",835.41,80
12,"member","Ten worker wear while this.","Books",718.67,13
13,"treatment","Side enough far station best argue.","Books",734.76,92
14,"old","Professional look including anyone story I.","Electronics",958.03,20
15,"spring","Less attention head lot gun water response.","Clothing",544.97,40
16,"employee","Each four draw exist care song.","Clothing",908.99,24
17,"president","Movement car soon seat.","Clothing",182.91,56
18,"against","Long professor six tonight I animal work.","Home Decor",789.86,33
19,"something","Southern put site end energy page.","Electronics",341.11,93
20,"ball","Hold opportunity hotel hour.","Clothing",296.33,8
21,"letter","Agency end she modern.","Home Decor",495.82,88
22,"left","Ok garden health possible animal machine material any.","Clothing",881.63,97
23,"situation","Traditional I area kind smile off.","Clothing",819.81,48
24,"difficult","Scientist government far pressure season.","Electronics",655.09,54
25,"good","Instead event choose certainly.","Books",708.24,26
26,"much","Floor dog send key box.","Electronics",710.5,49
27,"activity","Figure thank lay mention appear goal pick.","Electronics",858.16,39
28,"TV","Few language act huge.","Clothing",69.11,77
29,"despite","Myself term property forget leave.","Home Decor",462.39,95
30,"country","Usually night doctor present fall bit.","Clothing",113.74,37
31,"exactly","Like husband help.","Books",525.47,19
32,"nice","Change cause last sea pay style process.","Clothing",882.01,67
33,"inside","Including assume attorney another.","Home Decor",815.38,74
34,"than","Any rise on catch six agency.","Home Decor",214.46,100
35,"color","Especially sometimes sit speak feel.","Clothing",435.44,82
36,"health","Future experience thought individual huge enjoy everyone.","Electronics",933.24,0
37,"read","Information my adult blood PM.","Books",600.26,53
38,"professor","High staff relationship somebody attention animal parent.","Electronics",775.86,2
39,"part","Human friend watch education similar big.","Electronics",510.45,79
40,"ball","Style sort these age about along purpose.","Home Decor",611.16,78
41,"allow","Chair ready question including not our television.","Books",772.41,42
42,"fast","Color later surface lawyer.","Home Decor",986.58,24
43,"read","With him sure indeed actually receive.","Books",647.27,38
44,"animal","Human high foreign ok itself since.","Books",778.4,76
45,"first","Factor claim its fish decade someone low whole.","Books",574.06,7
46,"quickly","War ready reduce film.","Clothing",507.3,31
47,"knowledge","Push ground history throughout fill gun must.","Clothing",501.75,21
48,"interview","Reality whole young radio blood word a chair.","Electronics",740.33,14
49,"affect","Language character would help perform above.","Books",980.78,23
50,"physical","With responsibility where yeah it.","Clothing",39.79,32
51,"lay","House different section.","Clothing",301.39,44
52,"democratic","Operation seat entire red family suffer public.","Books",424.82,53
53,"visit","Music eye sell able her by.","Books",794.36,61
54,"story","Suffer though production another choice.","Books",908.5,38
55,"outside","Politics thousand open son yet.","Books",421.82,79
56,"community","Law society central answer per.","Electronics",86.78,72
57,"step","Who event control which word.","Books",757.07,53
58,"half","Exist Mrs stop safe.","Home Decor",929.23,77
59,"test","Office rest star major.","Books",267.35,77
60,"at","Song environmental above recognize member a page hospital.","Home Decor",657.52,76
61,"yourself","Accept goal inside Mr.","Clothing",351.54,66
62,"change","System poor yourself throw former person each.","Books",60.31,7
63,"create","Woman news hot send carry save.","Clothing",980.87,36
64,"behind","Until all thought there physical can add teacher.","Books",988.43,99
65,"likely","Tax number hour mission however once read.","Electronics",9.32,29
66,"of","Seem majority poor send produce writer.","Electronics",555.69,13
67,"close","That again head enjoy.","Books",209.91,59
68,"dog","Forget safe cup station concern list control.","Books",604.88,19
69,"film","Tax lose until feel score themselves wish.","Clothing",483.29,70
70,"company","Rule newspaper financial baby.","Clothing",953.44,15
71,"nation","Pressure result hotel ten management lay part.","Clothing",226.4,22
72,"meeting","Congress station black lose.","Books",777.5,58
73,"human","Speech television thought technology money natural four measure.","Books",23.56,41
74,"lose","Likely stop describe executive behavior necessary.","Home Decor",307.12,66
75,"increase","Local middle heart major several.","Electronics",116.68,31
76,"yard","Trouble factor gas provide former.","Books",163.1,91
77,"reflect","College rest nice window right onto manage.","Clothing",288.18,98
78,"theory","Reach catch maintain fear.","Home Decor",880.06,39
79,"card","Seem many notice like today.","Books",277.42,82
80,"out","Top information light hour.","Clothing",500.26,1
81,"toward","Difference minute green.","Electronics",846.16,62
